aciklama,cilttipi,cilt_problemi,onerilen_urun
"Yüzümde hafif bir şişlik var, cildim gergin ve sıcak hissediyorum.",hassas,alerjik reaksiyon,"parfümsüz nemlendirici, termal su spreyi, azelaik asit, sükralfat bariyer krem, anti-redness krem"
"Yanaklarımda geçmeyen kırmızı alanlar var, kaşınınca yanıyor.",hassas,kızarıklık,"parfümsüz nemlendirici, termal su spreyi, azelaik asit, sükralfat bariyer krem, anti-redness krem"
"Çenemde büyük kırmızı bir şişlik çıktı, bastırınca zonkluyor.",yağlı,sivilce,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
Güneşe çıktığımda yanaklarımda koyu gölgeler oluşuyor.,normal,güneş lekesi,"hafif nemlendirici, günlük güneş kremi, C vitamini serum, nazik temizleyici, dengeli bakım rutini"
"Yanaklarımda hafif bir çöküklük hissediyorum, eski dolgunluğu yok.",normal,elastikiyet kaybı,"hafif nemlendirici, günlük güneş kremi, C vitamini serum, nazik temizleyici, dengeli bakım rutini"
"Burnumdaki gözenekler açık duruyor, makyaj üstüne kötü oturuyor.",yağlı,geniş gözenek,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
"Yanaklarımda minik kabuklar ve soyulmalar var, pudra bile pütürlü duruyor.",kuru,kabuklanma,"hyaluronik asit serum, yoğun nemlendirici krem, bariyer onarıcı krem, gliserin içerikli losyon, nem maskesi"
"Bacak epilasyonu sonrası kırmızı kabarıklıklar çıktı, kaşıyınca tahriş oldu.",normal,batık kıl,"hafif nemlendirici, günlük güneş kremi, C vitamini serum, nazik temizleyici, dengeli bakım rutini"
"Yüzümde kırmızı pullu döküntüler yayıldı, kaşıdıkça soyuluyor.",hassas,dermatit,"parfümsüz nemlendirici, termal su spreyi, azelaik asit, sükralfat bariyer krem, anti-redness krem"
"Burnumda minik siyah gölgeler oluştu, bastırınca içinden siyah noktalar çıkıyor.",yağlı,gözenek tıkanıklığı,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
"Yüzümde koyu renkli lekeler çoğaldı, fondöten bile kapatmıyor.",normal,hiperpigmentasyon,"hafif nemlendirici, günlük güneş kremi, C vitamini serum, nazik temizleyici, dengeli bakım rutini"
"Yanaklarımda kaşıntılı kırmızı noktalar çıktı, zamanla kabuklanıyor.",hassas,döküntü,"parfümsüz nemlendirici, termal su spreyi, azelaik asit, sükralfat bariyer krem, anti-redness krem"
"Çenemde dokununca acıtan büyük bir şişlik var, üzeri kızarık.",yağlı,şişlik,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
Burnumdaki siyah noktalar sıkıldıktan sonra yine doluyor.,yağlı,siyah nokta,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
"Yüzümde açık renkli yuvarlak lekeler var, güneşte daha belirginleşiyor.",normal,hipopigmentasyon,"hafif nemlendirici, günlük güneş kremi, C vitamini serum, nazik temizleyici, dengeli bakım rutini"
"Yanaklarımda yanma, tahriş ve kızarıklık aynı anda başladı.",hassas,tahriş,"parfümsüz nemlendirici, termal su spreyi, azelaik asit, sükralfat bariyer krem, anti-redness krem"
"Çenemde kırmızı, ağrılı bir şişlik çıktı, bastırınca zonkluyor.",yağlı,sivilce,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
"Yüzümde açık kahverengi gölgeler belirdi, güneşe çıkınca koyulaşıyor.",normal,güneş lekesi,"hafif nemlendirici, günlük güneş kremi, C vitamini serum, nazik temizleyici, dengeli bakım rutini"
"Burnumdaki gözenekler sürekli dolu, makyajla bile kapatılamıyor.",yağlı,geniş gözenek,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
"Yanaklarımda hafif bir esneklik kaybı var, gülünce kırışıyor gibi.",normal,elastikiyet kaybı,"hafif nemlendirici, günlük güneş kremi, C vitamini serum, nazik temizleyici, dengeli bakım rutini"
"Göz kenarımda ince çizgiler oluştu, özellikle makyaj yapınca kırışıyor.",normal,kırışıklık,"hafif nemlendirici, günlük güneş kremi, C vitamini serum, nazik temizleyici, dengeli bakım rutini"
"Yüzümde sıcaklık, yanma ve hafif kızarıklık oluştu.",hassas,yanma,"parfümsüz nemlendirici, termal su spreyi, azelaik asit, sükralfat bariyer krem, anti-redness krem"
"Alnımda kabuklanma ve kaşıntı var, kaşırken pul pul dökülüyor.",hassas,kabuklanma,"parfümsüz nemlendirici, termal su spreyi, azelaik asit, sükralfat bariyer krem, anti-redness krem"
"Çenemde beyaz başlı minik kabarcıklar çıktı, üzerine bastığımda beyaz sıvı aktı.",yağlı,milium,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
Burnumdaki gözenek tıkanıklığı yüzünden siyah noktalar geri geliyor.,yağlı,gözenek tıkanıklığı,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
"Yüzümde koyu lekeler arttı, sabah aynaya bakınca daha belirgin.",normal,hiperpigmentasyon,"hafif nemlendirici, günlük güneş kremi, C vitamini serum, nazik temizleyici, dengeli bakım rutini"
"Yanaklarımda kaşıntılı kırmızı döküntüler yayıldı, bazen kabuklanıyor.",hassas,döküntü,"parfümsüz nemlendirici, termal su spreyi, azelaik asit, sükralfat bariyer krem, anti-redness krem"
"Çenemde kocaman kırmızı bir şişlik çıktı, üzerine bastığımda çok acıyor.",yağlı,şişlik,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
Burnumdaki siyah noktalar sıkıldıktan sonra tekrar oluşuyor.,yağlı,siyah nokta,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
"Yüzümde açık renkli yuvarlak lekeler çıktı, güneşte daha görünür oluyor.",normal,hipopigmentasyon,"hafif nemlendirici, günlük güneş kremi, C vitamini serum, nazik temizleyici, dengeli bakım rutini"
"Yanaklarımda yanma, tahriş ve hassasiyet hissetmeye başladım.",hassas,tahriş,"parfümsüz nemlendirici, termal su spreyi, azelaik asit, sükralfat bariyer krem, anti-redness krem"
