hastalik,aciklama,cilttipi,onerilen_urun,cilt_onerilen_urun
Zona (Herpes Zoster),"2. Göğüs kafesimin sağında, kaburgalarıma yakın bir bölgede acı veren, yanma gibi bir hisle birlikte kızarıklık ve kabarcıklar oluştu.",tum,"Asiklovir krem, Yatıştırıcı losyon, Lidokainli krem",
Zona (Herpes Zoster),"3. Sağ yanımda, kaburgalarımın altında iğne batması gibi bir acı ve yanmayla birlikte kırmızı, kabarcıklı bir döküntü çıktı.",tum,"Asiklovir krem, Yatıştırıcı losyon, Lidokainli krem",
Zona (Herpes Zoster),"4. Kaburgalarımın sağ tarafında yanma hissi veren, kırmızı ve kabarcıklı bir deri döküntüsü var. Dokunduğumda çok acıyor.",tum,"Asiklovir krem, Yatıştırıcı losyon, Lidokainli krem",
Zona (Herpes Zoster),"5. Sağ göğüs kafesimde kaburgalarıma yakın bir yerde yanan, su toplayan bir kızarıklık var. Dokununca çok acıyor.",tum,"Asiklovir krem, Yatıştırıcı losyon, Lidokainli krem",
Zona (Herpes Zoster),"6. Kaburgalarımın sağında, sanki iğne batıyormuş gibi acı veren, yanan bir döküntüm var.  Kırmızı ve kabarcıklı.",tum,"Asiklovir krem, Yatıştırıcı losyon, Lidokainli krem",
Zona (Herpes Zoster),"7. Sağ tarafımda, kaburgalarımın hizasında kırmızı, kabarcıklı ve yanma hissi veren bir döküntü var.  Dokunmaya dayanamıyorum.",tum,"Asiklovir krem, Yatıştırıcı losyon, Lidokainli krem",
Zona (Herpes Zoster),"8. Göğsümün sağ tarafında, kaburgalarıma yakın bir bölgede yanma hissiyatı olan, dokununca çok acıyan, kırmızı kabarcıklar oluştu.",tum,"Asiklovir krem, Yatıştırıcı losyon, Lidokainli krem",
Zona (Herpes Zoster),9. Sağ tarafımda kaburgalarımın altında kırmızı ve su toplamış bir döküntü var.  Yanıyor ve batma hissi veriyor.,tum,"Asiklovir krem, Yatıştırıcı losyon, Lidokainli krem",
Zona (Herpes Zoster),"10. Kaburgalarımın sağ tarafında, sürekli iğne batıyormuş gibi hissettiren, acı veren,  kırmızı ve su toplamış bir döküntü var.",tum,"Asiklovir krem, Yatıştırıcı losyon, Lidokainli krem",
Zona (Herpes Zoster),"11. Sağ göğüs kafesimde, kaburgalarımın yakınında yanan ve kaşındıran, kırmızı kabarcıklı bir döküntü çıktı. Dokununca acıyor.",tum,"Asiklovir krem, Yatıştırıcı losyon, Lidokainli krem",
Zona (Herpes Zoster),"12. Kaburgalarımın sağında, dokununca çok acıyan, yanma hissiyle birlikte kırmızı ve kabarcıklı bir deri tahrişi var.",tum,"Asiklovir krem, Yatıştırıcı losyon, Lidokainli krem",
Zona (Herpes Zoster),"13. Sağ yanımda, kaburgalarıma yakın bir yerde,  yanan ve batan bir döküntü var.  Kızarık ve su toplamış.",tum,"Asiklovir krem, Yatıştırıcı losyon, Lidokainli krem",
Zona (Herpes Zoster),"14. Göğsümün sağ kısmında, kaburgalarımın hizasında iğne batması gibi bir acı hissettiğim, kırmızı ve kabarcıklı bir döküntü oluştu.",tum,"Asiklovir krem, Yatıştırıcı losyon, Lidokainli krem",
Zona (Herpes Zoster),"15. Kaburgalarımın sağında, dokununca çok acıyan,  kırmızı, kabarcıklı ve yanma hissi veren bir deri problemi var.",tum,"Asiklovir krem, Yatıştırıcı losyon, Lidokainli krem",
Zona (Herpes Zoster),"16. Sağ tarafımda, kaburgalarımın altında, sürekli batma hissi veren ve yanan bir döküntü var. Ayrıca kızarık ve kabarcıklı.",tum,"Asiklovir krem, Yatıştırıcı losyon, Lidokainli krem",
Zona (Herpes Zoster),"17. Göğsümün sağ tarafında, kaburgalarımın yakınında yanma hissiyatı olan, kırmızı renkli, kabarcıklı bir döküntü oluştu ve dokunamıyorum.",tum,"Asiklovir krem, Yatıştırıcı losyon, Lidokainli krem",
Zona (Herpes Zoster),"18. Sağ yanımda, kaburgalarımın altında iğne gibi batan, yanma hissi veren kırmızı bir döküntü var.  Üzerinde kabarcıklar da var.",tum,"Asiklovir krem, Yatıştırıcı losyon, Lidokainli krem",
Zona (Herpes Zoster),"19. Kaburgalarımın sağ tarafında, dokunmaya çok hassas, yanan ve  kırmızı kabarcıklarla dolu bir döküntü çıktı.",tum,"Asiklovir krem, Yatıştırıcı losyon, Lidokainli krem",
Zona (Herpes Zoster),"20. Sağ göğüs kafesimde, kaburgalarıma yakın, yanan ve zonklayan, kırmızı ve kabarcıklı bir döküntü var.  Dokunduğumda acısı artıyor.",tum,"Asiklovir krem, Yatıştırıcı losyon, Lidokainli krem",
Zona (Herpes Zoster),"21. Kaburgalarımın sağında, sürekli yanma hissi veren, kızarık ve küçük su kabarcıklarıyla dolu bir döküntü var. Dokununca çok ağrıyor.",tum,"Asiklovir krem, Yatıştırıcı losyon, Lidokainli krem",
Zona (Herpes Zoster),"22. Sağ tarafımda, kaburgalarımın altında iğne batması gibi hissettiren, yanıcı bir acı veren ve kızarık, kabarcıklı bir döküntüm var.",tum,"Asiklovir krem, Yatıştırıcı losyon, Lidokainli krem",
Zona (Herpes Zoster),"23. Göğsümün sağında, kaburgalarıma yakın bir yerde, dokununca dayanılmaz acı veren, yanan ve kabarcıklı bir kızarıklık var.",tum,"Asiklovir krem, Yatıştırıcı losyon, Lidokainli krem",
Zona (Herpes Zoster),"24. Kaburgalarımın sağında, yanma ve batma hissi veren, dokununca çok acıyan kırmızı, su toplamış kabarcıklar var.",tum,"Asiklovir krem, Yatıştırıcı losyon, Lidokainli krem",
Zona (Herpes Zoster),"25. Sağ tarafımda, kaburgalarımın altında, yanma hissi ile beraber kırmızı, kabarcıklı bir lezyon oluştu. Dokununca ağrıyor.",tum,"Asiklovir krem, Yatıştırıcı losyon, Lidokainli krem",
Zona (Herpes Zoster),"26. Göğsümün sağında, kaburgalarımın yanında, sürekli batma hissi ile birlikte yanan, kızarık ve küçük su toplayan bir döküntü var.",tum,"Asiklovir krem, Yatıştırıcı losyon, Lidokainli krem",
Zona (Herpes Zoster),"27. Kaburgalarımın sağında, dokununca şiddetli acı veren, yanma ve batma hissi yaratan, kırmızı ve kabarcıklı bir deri problemi yaşıyorum.",tum,"Asiklovir krem, Yatıştırıcı losyon, Lidokainli krem",
Zona (Herpes Zoster),"28. Sağ tarafımda kaburgalarımın altında,  iğne batıyormuş gibi acı veren, yanan, kızarık ve su kabarcıklarıyla dolu bir deri tahrişi var.",tum,"Asiklovir krem, Yatıştırıcı losyon, Lidokainli krem",
Zona (Herpes Zoster),"29. Göğsümün sağ tarafında, kaburgalarıma yakın bir yerde, dokununca acıyan, yanma ve batma hissi yaratan kırmızı ve kabarcıklı bir döküntü oluştu.",tum,"Asiklovir krem, Yatıştırıcı losyon, Lidokainli krem",
Zona (Herpes Zoster),"30. Sağ yanımda, kaburgalarımın hizasında, yanma hissiyle birlikte kırmızı renkli, kabarcıklı bir döküntü çıktı. Dokununca oldukça acıyor ve iğne batması gibi hissettiriyor.",tum,"Asiklovir krem, Yatıştırıcı losyon, Lidokainli krem",
Gül hastalığı,"1. Cildim aşırı hassas, en basit ürünler bile tahrişe yol açıyor.",hassas,"Azelaik asit krem, Sükralfat bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Gül hastalığı,"2. Rosacea'm var ve tedavi denemekten çekiniyorum, cildimin daha da kötüleşmesinden korkuyorum.",hassas,"Azelaik asit krem, Sükralfat bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Gül hastalığı,3. Cildime hiçbir şey süremeyecek kadar hassas.  Rosacea tedavisi de beni endişelendiriyor.,hassas,"Azelaik asit krem, Sükralfat bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Gül hastalığı,4. En nazik ürünler bile cildimi tahriş ediyor. Rosacea için bir tedavi denemeye korkuyorum.,hassas,"Azelaik asit krem, Sükralfat bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Gül hastalığı,5. Cildim çok hassas ve kolayca tahriş oluyor. Rosacea'm var ama tedaviye başlamaktan çekiniyorum.,hassas,"Azelaik asit krem, Sükralfat bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Gül hastalığı,6. Herhangi bir ürün kullandığımda cildim tepki veriyor. Rosacea'm var ve tedavi konusunda kararsızım.,hassas,"Azelaik asit krem, Sükralfat bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Gül hastalığı,7. Cildimin hassasiyeti nedeniyle temel bakım ürünleri bile kullanamıyorum. Rosacea tedavisi de beni korkutuyor.,hassas,"Azelaik asit krem, Sükralfat bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Gül hastalığı,8. Cildim inanılmaz derecede hassas. Rosacea'mı kötüleştirmekten korktuğum için tedaviye başlayamıyorum.,hassas,"Azelaik asit krem, Sükralfat bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Gül hastalığı,9. En basit ürünler bile cildimi kızartıyor ve rahatsız ediyor. Rosacea için tedavi aramaktan çekiniyorum.,hassas,"Azelaik asit krem, Sükralfat bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Gül hastalığı,"10. Cildim o kadar hassas ki, rosacea tedavisi denemeye cesaret edemiyorum.",hassas,"Azelaik asit krem, Sükralfat bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Gül hastalığı,11. Rosacea'm var ve hassas cildim nedeniyle tedavi olmaktan korkuyorum.,hassas,"Azelaik asit krem, Sükralfat bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Gül hastalığı,12. Cildimdeki hassasiyet yüzünden hiçbir ürün kullanamıyorum. Ayrıca rosacea'm var ve tedavi konusunda endişeliyim.,hassas,"Azelaik asit krem, Sükralfat bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Gül hastalığı,13. En doğal ürünler bile cildimde tahrişe neden oluyor.  Rosacea tedavisinin yan etkilerinden korkuyorum.,hassas,"Azelaik asit krem, Sükralfat bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Gül hastalığı,"14. Cildimin aşırı hassasiyeti, rosacea tedavisi arayışımı da engelliyor.",hassas,"Azelaik asit krem, Sükralfat bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Gül hastalığı,15. Rosacea'lı ve çok hassas bir cilde sahibim. Herhangi bir tedavi denemekten korkuyorum.,hassas,"Azelaik asit krem, Sükralfat bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Gül hastalığı,16. Cildime ne sürersem süreyim tahriş oluyor. Rosacea tedavisi de beni kaygılandırıyor.,hassas,"Azelaik asit krem, Sükralfat bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Gül hastalığı,17. Temel cilt bakım ürünleri bile cildimde reaksiyona sebep oluyor. Rosacea'm var ama tedaviye başlamaktan çekiniyorum.,hassas,"Azelaik asit krem, Sükralfat bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Gül hastalığı,"18. Hassas cildim ve rosacea, tedavi arayışımı zorlaştırıyor.",hassas,"Azelaik asit krem, Sükralfat bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Gül hastalığı,19. Cildim kolayca tahriş oluyor ve rosacea'm var.  Tedavi denemek istemiyorum.,hassas,"Azelaik asit krem, Sükralfat bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Gül hastalığı,20. Hiçbir ürün cildime iyi gelmiyor. Rosacea tedavisi de beni endişelendiriyor.,hassas,"Azelaik asit krem, Sükralfat bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Gül hastalığı,21. Çok hassas bir cilde sahibim ve rosacea'm var. Tedavi konusunda kararsızım.,hassas,"Azelaik asit krem, Sükralfat bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Gül hastalığı,22.  Cildime dokunduğum her şey onu tahriş ediyor.  Rosacea'm için tedavi denemekten korkuyorum.,hassas,"Azelaik asit krem, Sükralfat bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Gül hastalığı,23.  En ufak bir şey bile cildimi rahatsız ediyor. Rosacea'm var ve tedaviye başlamaya korkuyorum.,hassas,"Azelaik asit krem, Sükralfat bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Gül hastalığı,"24. Cildim çok hassas, rosacea'm da cabası. Tedavi olmaktan çekiniyorum.",hassas,"Azelaik asit krem, Sükralfat bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Gül hastalığı,"25. Rosacea ve aşırı hassas bir cilde sahibim, bu yüzden tedavi arayışım zorlu.",hassas,"Azelaik asit krem, Sükralfat bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Gül hastalığı,26.  Cildimdeki hassasiyet ve rosacea nedeniyle hiçbir şey kullanamıyorum.  Tedavi de beni korkutuyor.,hassas,"Azelaik asit krem, Sükralfat bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Gül hastalığı,27.  En yumuşak ürünler bile cildimi yakıyor.  Rosacea'mı daha da kötüleştireceğinden korktuğum için tedavi olamıyorum.,hassas,"Azelaik asit krem, Sükralfat bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Gül hastalığı,28. Cildim her şeye reaksiyon gösteriyor.  Rosacea'mı tedavi ettirmekten çekiniyorum.,hassas,"Azelaik asit krem, Sükralfat bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Gül hastalığı,29. Rosacea'lı hassas cildim için hiçbir çare bulamıyorum. Tedavi de beni endişelendiriyor.,hassas,"Azelaik asit krem, Sükralfat bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Gül hastalığı,30.  Cilt bakım ürünleri cildimi tahriş ettiği için kullanamıyorum.  Rosacea'mı da tedavi ettirmeye korkuyorum.,hassas,"Azelaik asit krem, Sükralfat bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Gül hastalığı,"1. Yüzde, genellikle orta kısımda, güneş yanığı gibi kızarıklık rosaceanın yaygın bir belirtisidir.",hassas,"Azelaik asit krem, Sükralfat bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Gül hastalığı,"2. Rosacea, yüzde kalıcı kızarıklığa neden olabilir.",hassas,"Azelaik asit krem, Sükralfat bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Gül hastalığı,3. Yüzdeki küçük kan damarları rosacea ile belirginleşebilir.,hassas,"Azelaik asit krem, Sükralfat bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Gül hastalığı,"4. Rosacea, akneye benzeyen, kırmızı, şiş ve hassas yumrulara yol açabilir.",hassas,"Azelaik asit krem, Sükralfat bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Gül hastalığı,5. Rosaceada görülen şişlikler ağrılı olabilir.,hassas,"Azelaik asit krem, Sükralfat bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Gül hastalığı,"6. Rosacea, gözlerde kuruluk, tahriş ve sulanmaya sebep olabilir.",hassas,"Azelaik asit krem, Sükralfat bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Gül hastalığı,"7. Rosacea, özellikle burunda cilt kalınlaşmasına neden olabilir, buna rinofima denir.",hassas,"Azelaik asit krem, Sükralfat bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Gül hastalığı,"8. Rinofima, burunda rosacea kaynaklı cilt kalınlaşmasıdır.",hassas,"Azelaik asit krem, Sükralfat bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Gül hastalığı,9. Bazı yiyecek ve içecekler rosacea alevlenmelerini tetikleyebilir.,hassas,"Azelaik asit krem, Sükralfat bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Gül hastalığı,"10. Stres, rosacea belirtilerini kötüleştirebilir.",hassas,"Azelaik asit krem, Sükralfat bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Gül hastalığı,11. Çevresel faktörler rosacea alevlenmelerine yol açabilir.,hassas,"Azelaik asit krem, Sükralfat bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Gül hastalığı,"12. Rosacea, çeşitli belirtilerle kendini gösteren bir cilt rahatsızlığıdır.",hassas,"Azelaik asit krem, Sükralfat bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Gül hastalığı,13. Rosacea genellikle yüzü etkiler.,hassas,"Azelaik asit krem, Sükralfat bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Gül hastalığı,14. Rosacea belirtileri kişiden kişiye değişebilir.,hassas,"Azelaik asit krem, Sükralfat bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Gül hastalığı,15. Rosacea uzun vadeli cilt sorunlarına yol açabilir.,hassas,"Azelaik asit krem, Sükralfat bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Gül hastalığı,16. Rosacea tanısı için bir dermatoloğa başvurmak önemlidir.,hassas,"Azelaik asit krem, Sükralfat bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Gül hastalığı,17. Rosacea tedavisi kişiye özel olmalıdır.,hassas,"Azelaik asit krem, Sükralfat bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Gül hastalığı,"18. Rosacea, yüz cildinde kızarıklık, şişlik ve görünür kılcal damarlara neden olan bir cilt hastalığıdır.",hassas,"Azelaik asit krem, Sükralfat bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Gül hastalığı,"19. Rosacea,  gözleri de etkileyerek kuruluk ve tahrişe yol açabilir.",hassas,"Azelaik asit krem, Sükralfat bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Gül hastalığı,20.  Burunda cilt kalınlaşması (rinofima) rosaceanın bir komplikasyonudur.,hassas,"Azelaik asit krem, Sükralfat bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Gül hastalığı,"21.  Rosacea alevlenmeleri, beslenme, stres ve çevresel etkenler gibi tetikleyicilerle ilişkilidir.",hassas,"Azelaik asit krem, Sükralfat bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Gül hastalığı,22.  Rosacea belirtileri farklılık gösterebilir ve doğru tanı için dermatoloğa başvurulması önerilir.,hassas,"Azelaik asit krem, Sükralfat bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
